Zone,Company Type,Min Salary,Max Salary,Avg Salary,Experience,In School,Degree,Type
深圳市,1,25000,30000,27500,2,0,2,数据分析师
上海市,1,10000,30000,20000,1,0,2,数据分析师
武汉市,1,10000,15000,12500,1,0,1,数据分析师
上海市,1,18000,25000,21500,3,0,2,数据分析师
广州市,1,6000,10000,8000,1,0,1,数据分析师
武汉市,1,5000,10000,7500,1,0,2,数据分析师
武汉市,0,7000,12000,9500,1,0,2,数据分析师
深圳市,0,10000,15000,12500,1,0,2,数据分析师
上海市,1,15000,18000,16500,2,0,2,数据分析师
广州市,1,8000,10000,9000,2,0,1,数据分析师
上海市,1,8000,10000,9000,1,0,2,数据分析师
武汉市,1,6000,9000,7500,2,0,2,数据分析师
上海市,1,9000,10000,9500,1,0,2,数据分析师
广州市,1,8000,10000,9000,1,0,2,数据分析师
武汉市,1,6000,8000,7000,1,0,1,数据分析师
深圳市,1,20000,30000,25000,2,0,2,高级分析师
深圳市,1,6000,8000,7000,2,0,2,数据分析师
广州市,1,8000,16000,12000,2,0,2,数据分析师
武汉市,1,8333,12500,10416,1,0,1,数据分析师
上海市,1,8000,9000,8500,1,0,1,数据分析师
深圳市,1,8000,15000,11500,1,0,1,数据分析师
广州市,1,10000,15000,12500,1,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
深圳市,1,8000,15000,11500,2,0,2,数据分析师
武汉市,1,6000,8000,7000,0,0,3,数据分析师
武汉市,0,6000,8000,7000,1,0,2,数据分析师
广州市,0,15000,30000,22500,1,0,2,高级分析师
深圳市,0,10000,15000,12500,1,0,2,数据分析师
上海市,0,16666,25000,20833,0,0,2,数据分析师
深圳市,1,7000,10000,8500,1,0,1,数据分析师
上海市,0,20000,30000,25000,2,0,2,高级分析师
广州市,1,4000,7000,5500,1,0,1,数据分析师
深圳市,1,8000,10000,9000,0,0,2,数据分析师
上海市,0,8000,10000,9000,1,0,1,数据分析师
上海市,0,30000,40000,35000,2,0,2,数据分析师
深圳市,1,10000,15000,12500,3,0,2,数据分析师
广州市,1,12000,20000,16000,2,0,3,数据分析师
深圳市,1,5000,7000,6000,1,0,1,数据分析师
上海市,1,8000,16000,12000,1,0,2,数据分析师
广州市,1,6000,12000,9000,1,0,2,数据分析师
上海市,0,12000,20000,16000,2,0,0,数据分析师
深圳市,1,10000,15000,12500,1,0,2,数据分析师
广州市,1,10000,15000,12500,1,0,1,数据分析师
上海市,1,8000,15000,11500,0,0,3,数据分析师
深圳市,0,17000,22000,19500,1,0,2,数据分析师
广州市,1,15000,25000,20000,3,0,2,高级分析师
深圳市,1,12000,18000,15000,1,0,2,数据分析师
东莞市,1,8000,15000,11500,1,0,1,数据分析师
深圳市,1,13000,20000,16500,2,0,1,数据分析师
上海市,0,12000,22000,17000,2,0,2,数据分析师
深圳市,1,10000,15000,12500,2,0,2,高级分析师
广州市,1,15000,18000,16500,3,0,1,高级分析师
上海市,0,10000,15000,12500,2,0,1,数据分析师
深圳市,0,10000,15000,12500,1,0,2,数据分析师
深圳市,1,5500,8500,7000,0,0,1,数据分析师
深圳市,1,15000,20000,17500,1,0,2,数据分析师
广州市,1,6000,8000,7000,1,0,2,数据分析师
深圳市,0,8000,15000,11500,1,0,1,数据分析师
广州市,1,8000,10000,9000,1,0,2,数据分析师
广州市,1,14000,22000,18000,2,0,2,数据分析师
深圳市,1,6000,8000,7000,1,0,1,数据分析师
广州市,1,6000,8000,7000,0,0,1,数据分析师
深圳市,1,20000,50000,35000,1,0,2,数据分析师
深圳市,1,4000,8000,6000,1,0,1,数据分析师
广州市,1,10000,15000,12500,2,0,2,数据分析师
深圳市,0,15000,20000,17500,1,0,2,数据分析师
