url,title,area,salary,company_type,requirements,company_name
https://msearch.51job.com/jobs/kunming/132111838.html?jobtype=0_0&rc=03,数据处理专员—周末双休+七险一金,昆明-五华区,4-7千/月,民营公司,大专 | 1年,卫远信息技术（昆明）有限公司
https://msearch.51job.com/jobs/kunming/128838497.html?jobtype=0_0&rc=03,数据分析工程师,昆明,0.6-1万/月,国企,本科 | 3-4年,云南能投智慧能源股份有限公司
https://msearch.51job.com/jobs/kunming/126268995.html?jobtype=0_0&rc=03,数据处理专员,昆明-五华区,4-7千/月,民营公司,大专 | 1年,云南昆药医疗器械有限公司
https://msearch.51job.com/jobs/kunming/130748815.html?jobtype=0_0&rc=03,高级数据仓库工程师,昆明-西山区,1.8-2.4万/月,合资,本科 | 5-7年,亚信科技CMC
https://msearch.51job.com/jobs/kunming/130152366.html?jobtype=0_0&rc=03,数据分析网络+4个公司提成,昆明-官渡区,6-8千/月,民营公司,大专 | 3-4年,云南俊雅装饰工程有限公司
https://msearch.51job.com/jobs/kunming/133586028.html?jobtype=0_0&rc=03,数据专员,昆明-官渡区,4-6千/月,民营公司,大专 | 2年,云南极兔供应链有限公司
https://msearch.51job.com/jobs/kunming/128581359.html?jobtype=0_0&rc=03,数据分析,昆明-五华区,5-7.5千/月,民营公司,本科 | 1年,医云医疗产业发展（云南）股份有限公司
https://msearch.51job.com/jobs/kunming/132654243.html?jobtype=0_0&rc=03,运营数据分析,昆明-官渡区,0.8-1万/月,民营公司,本科 | 2年,云南微服物流大数据运营有限公司
https://msearch.51job.com/jobs/kunming/125359965.html?jobtype=0_0&rc=03,数据专员,昆明-五华区,4.5-6千/月,民营公司,大专 | 1年,昆明凡载商贸有限公司
https://msearch.51job.com/jobs/kunming/132455396.html?jobtype=0_0&rc=03,市场策略支持主任（数据分析岗）,昆明-西山区,6-8千/月,合资,本科 | 2年,昆明贝克诺顿制药有限公司
https://msearch.51job.com/jobs/kunming/127416192.html?jobtype=0_0&rc=03,数据分析,昆明-官渡区,5-6千/月,民营公司,本科 | 3-4年,云南云滴汽车服务有限公司
https://msearch.51job.com/jobs/kunming/127294338.html?jobtype=0_0&rc=03,数据分析专员,昆明-盘龙区,4.5-6千/月,民营公司,大专 | 1年,云南江东房地产集团有限公司
https://msearch.51job.com/jobs/kunming/131451792.html?jobtype=0_0&rc=03,数据分析岗（交科院运输发展研究中心招聘）,昆明-官渡区,6-8千/月,民营公司,本科 | 2年,昆明路华劳务分包有限公司经开分公司
https://msearch.51job.com/jobs/kunming/127788791.html?jobtype=0_0&rc=03,数据专员,昆明-官渡区,5-7千/月,合资,本科 | 2年,云南北飞科技有限公司
https://msearch.51job.com/jobs/kunming/130964726.html?jobtype=0_0&rc=03,12345市长热线平台数据分析岗,昆明-西山区,4.5-6千/月,民营公司,本科 | 1年,云南友脉投资有限公司
https://msearch.51job.com/jobs/kunming/125292518.html?jobtype=0_0&rc=03,商品专员,昆明-五华区,4-5千/月,民营公司,大专 | 1年,云南361°
https://msearch.51job.com/jobs/kunming/116384211.html?jobtype=0_0&rc=03,商品专员（特步）,昆明-官渡区,3-6千/月,民营公司,大专 | 1年,云南楚昭商贸有限公司（特步中国一级经销商）
https://msearch.51job.com/jobs/kunming/131212082.html?jobtype=0_0&rc=03,数据专员,昆明,3-4.5千/月,民营公司,大专 | 1年,昆明韩辰医疗美容医院有限公司
https://msearch.51job.com/jobs/kunming/107194089.html?jobtype=0_0&rc=03,vivo-数据分析专员,昆明-西山区,8-10万/年,民营公司,本科 | 1年,云南轩宇科技有限公司
